,hardwareCount,hardwareCount,cpuMean,cpuMean,freeMemoryMean,freeMemoryMean,totalMemoryMean,totalMemoryMean
,mean,sum,mean,sum,mean,sum,mean,sum
type,,,,,,,,
calculateOrderData_responseTime,2.0,4176,0.011062333472899442,23.098152291414035,2640333484.6283526,5513016315904.0,4089133393.4099617,8538110525440.0
counterOrder_responseTime,2.0,4176,0.011064106987652077,23.101855390217537,2640451585.9616857,5513262911488.0,4089133393.4099617,8538110525440.0
filledOrders_responseTime,2.0,4176,0.011062268745045583,23.098017139655177,2640277572.6590037,5512899571712.0,4089133393.4099617,8538110525440.0
getTokenPools_responseTime,14.707854406130268,30710,0.011062500250199406,23.09850052241636,2640430568.0878673,5513219026167.467,4089133393.4099617,8538110525440.0
placeOrders_responseTime,2.0,4176,0.01106237616306341,23.098241428476403,2640356059.708812,5513063452672.0,4089133393.4099617,8538110525440.0
pollTxHashSleep_responseTime,21.556513409961685,45010,0.01106403485546006,23.101704778200606,2640929914.7459865,5514261661989.62,4089133393.4099617,8538110525440.0
pollTxHash_responseTime,23.559386973180075,49192,0.011064035989708797,23.10170714651197,2640918912.2761545,5514238688832.61,4089133393.4099617,8538110525440.0
priceArbiCalculator_responseTime,9.298850574712644,19416,0.011062335269648069,23.098156043025167,2640335185.2873564,5513019866880.0,4089133393.4099617,8538110525440.0
priceFilledArbiCalculator_responseTime,5.409003831417625,11294,0.011062820977680365,23.099170201396603,2640604351.918263,5513581886805.333,4089133393.4099617,8538110525440.0
removeOpenOrders_responseTime,2.0,4176,0.011062316518286085,23.098116890181345,2640266329.256705,5512876095488.0,4089133393.4099617,8538110525440.0
replaceOrders_responseTime,2.0,4176,0.01106238973487396,23.098269766416827,2640354364.8122606,5513059913728.0,4089133393.4099617,8538110525440.0
responseTime,2.0,4176,0.011063220537076729,23.10000448141621,2640390099.862069,5513134528512.0,4089133393.4099617,8538110525440.0
sleepValue,1.0,2088,0.011062433213600498,23.098360549997842,2640376516.1685824,5513106165760.0,4089133393.4099617,8538110525440.0
sleep_responseTime,2.0,4176,0.011062340430078962,23.098166818004874,2640325020.934866,5512998643712.0,4089133393.4099617,8538110525440.0
swapInRetry,1.0,2088,0.011100415007391867,1.431953535953551,2609350640.124031,336606232576.0,4085668236.8992248,527051202560.0
swapIn_responseTime,2.293488824101069,2360,0.011060294421865792,11.3810429600999,2645554923.68254,2722276016469.3335,4084049432.3809524,4202486865920.0
swapOutRetry,1.0,2088,0.01106781605403497,1.7708505686455953,2616691353.6,418670616576.0,4094526976.0,655124316160.0
swapOut_responseTime,2.3446327683615817,2490,0.011069054814510317,11.755336213009956,2636534741.7350907,2799999895722.6665,4094012244.369115,4347841003520.0
swapPoller_responseTime,2.0,4176,0.011064051828536547,23.10174021798431,2640841689.7471266,5514077448192.0,4089133393.4099617,8538110525440.0
swaps_responseTime,2.0,4176,0.011063218143990998,23.099999484653203,2640354098.0229883,5513059356672.0,4089133393.4099617,8538110525440.0
trade_responseTime,2.0028735632183907,4182,0.011064105851467554,23.101853017864254,2640450424.643678,5513260486656.0,4089133393.4099617,8538110525440.0
txHashSleepValue,10.778256704980842,22505,0.011064051699995683,23.101739949590986,2640959524.711812,5514323487598.264,4089133393.4099617,8538110525440.0
