,responseTime,responseTime,responseTime,responseTime,responseTime,responseTime,responseTime,responseTime
,sum,mean,median,std,min,max,sem,count
type,,,,,,,,
calculateOrderData_responseTime,13313244467.0,6376074.936302682,5275053.0,6783871.8644574825,1399537.0,89784071.0,148461.00258322453,2088
counterOrder_responseTime,618708463825.0,296316314.092433,223623786.0,193885345.08055174,212830809.0,904968580.0,4243065.507717268,2088
filledOrders_responseTime,1177124044866.0,563756726.4683908,427079755.0,289030922.2404361,411429719.0,2909558325.0,6325269.897591252,2088
getTokenPools_responseTime,18282722278.0,8756093.045019157,1267881.5,21304989.9684805,568399.0,295262537.0,466247.0391455579,2088
placeOrders_responseTime,1173472642052.0,562007970.3314177,436158258.0,275794238.22630626,411970915.0,1776182509.0,6035592.937460135,2088
pollTxHashSleep_responseTime,11263019258219.0,5394166311.407567,5003641288.5,4322940029.557286,1500137467.0,77645225250.0,94604972.45794514,2088
pollTxHash_responseTime,656678004575.0,314500960.0454981,168077639.0,895529432.0196787,31460170.0,33935121619.0,19598129.206566237,2088
priceArbiCalculator_responseTime,12932303113.0,6193631.759099617,4052682.0,11686933.079282884,226033.0,211430987.0,255761.58228515476,2088
priceFilledArbiCalculator_responseTime,105379511738.0,50469114.81704981,2548524.5,148257859.24915007,119732.0,1561509195.0,3244535.1069041197,2088
removeOpenOrders_responseTime,1153955453332.0,552660657.7260536,426448944.0,274868591.3149525,410469751.0,1712669397.0,6015335.705123887,2088
replaceOrders_responseTime,1158573936413.0,554872574.9104406,428883951.0,275855106.7323329,409325348.0,1773997135.0,6036925.008526778,2088
responseTime,220618264389.0,105660088.30890805,80588923.0,86727126.25841305,26945697.0,628904505.0,1897971.5968611655,2088
sleepValue,9192000.0,4402.298850574713,4000.0,801.9110396627166,4000.0,6000.0,17.549346348157133,2088
sleep_responseTime,9193335707812.0,4402938557.381226,4000481329.0,801764387.503544,3999284475.0,6006961280.0,17546136.952841777,2088
swapInRetry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129
swapIn_responseTime,523547429704.0,508792448.69193393,506782313.0,263780437.5197074,103709377.0,3545830129.0,8223087.223011079,1029
swapOutRetry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160
swapOut_responseTime,526312694971.0,495586341.78060263,483353792.0,396443490.90768653,15795598.0,5448321956.0,12165193.838687364,1062
swapPoller_responseTime,11928582581148.0,5712922692.120689,5210437704.0,4631757343.743406,1536647418.0,87443405817.0,101363255.77979508,2088
swaps_responseTime,13177861118948.0,6311236168.078544,5852110476.5,4642322516.807852,1929522281.0,88358975063.0,101594468.31106807,2088
trade_responseTime,616448672212.0,295234038.41570884,222546698.0,193902620.66494277,211941918.0,904258398.0,4243443.573610926,2088
txHashSleepValue,1044000.0,500.0,500.0,0.0,500.0,500.0,0.0,2088
