,hardwareCount,hardwareCount,cpuMean,cpuMean,freeMemoryMean,freeMemoryMean,totalMemoryMean,totalMemoryMean
,mean,sum,mean,sum,mean,sum,mean,sum
type,,,,,,,,
calculateOrderData_responseTime,2.0,3298,0.24779803255519847,408.6189556835223,7579187033.576714,12498079418368.0,64265863168.0,105974408364032.0
counterOrder_responseTime,2.0,3298,0.24780670841210206,408.6332621715563,7583228974.573681,12504744579072.0,64265863168.0,105974408364032.0
filledOrders_responseTime,2.0,3298,0.24780260719799313,408.6264992694907,7580079345.562159,12499550840832.0,64265863168.0,105974408364032.0
getTokenPools_responseTime,25.43117040630685,41936,0.2477999621004271,408.6221375036043,7578833279.37717,12497496077692.953,64265863168.0,105974408364032.0
placeOrders_responseTime,2.0,3298,0.2477982727182258,408.61935171235433,7579129755.400849,12497984966656.0,64265863168.0,105974408364032.0
pollTxHashSleep_responseTime,18.083687083080655,29820,0.24780498282523736,408.6304166788164,7580878038.95887,12500867886243.176,64265863168.0,105974408364032.0
pollTxHash_responseTime,20.123711340206185,33184,0.24780498421915206,408.63041897738174,7580896639.943534,12500898559266.887,64265863168.0,105974408364032.0
priceArbiCalculator_responseTime,16.0,26384,0.24779803094028374,408.6189530205279,7579176138.750758,12498061452800.0,64265863168.0,105974408364032.0
priceFilledArbiCalculator_responseTime,9.431170406306853,15552,0.24780324885779048,408.6275573664965,7578970541.952699,12497722423680.0,64265863168.0,105974408364032.0
removeOpenOrders_responseTime,2.0,3298,0.24780302469089086,408.62718771527904,7579589252.579745,12498742677504.0,64265863168.0,105974408364032.0
replaceOrders_responseTime,2.0,3298,0.24779826736533672,408.61934288544023,7579120383.534264,12497969512448.0,64265863168.0,105974408364032.0
responseTime,2.0,3298,0.24780242683403647,408.62620184932615,7581160828.66222,12501334206464.0,64265863168.0,105974408364032.0
sleepValue,1.0,1649,0.2477985073992799,408.61973870141253,7579047549.748939,12497849409536.0,64265863168.0,105974408364032.0
sleep_responseTime,2.0,3298,0.24780044757099776,408.6229380445753,7579594884.890237,12498751965184.0,64265863168.0,105974408364032.0
swapInRetry,1.0,1649,0.2392424823605589,29.666067812709304,8277900056.774194,1026459607040.0,64265863168.0,7968967032832.0
swapIn_responseTime,2.3501144164759724,2054,0.2510025366736406,219.3762170527619,7812758613.723875,6828351028394.667,64265863168.0,56168364408832.0
swapOutRetry,1.0,1649,0.24912858978465938,23.66721602954264,8987094393.263159,853773967360.0,64265863168.0,6105257000960.0
swapOut_responseTime,2.26980198019802,1834,0.24333633040752556,196.61575496928066,7364485112.607261,5950503970986.667,64265863168.0,51926817439744.0
swapPoller_responseTime,2.0,3298,0.24780498126804934,408.63041411101335,7580987069.089145,12501047676928.0,64265863168.0,105974408364032.0
swaps_responseTime,2.0,3298,0.24780491222470016,408.63030025853055,7581255086.340813,12501489637376.0,64265863168.0,105974408364032.0
trade_responseTime,2.0400242571255305,3364,0.24780670250143846,408.633252424872,7583295723.973317,12504854648832.0,64265863168.0,105974408364032.0
txHashSleepValue,9.041843541540327,14910,0.24780481684996483,408.630142985592,7580668767.499416,12500522797606.537,64265863168.0,105974408364032.0
