,responseTime,responseTime,responseTime,responseTime,responseTime,responseTime,responseTime,responseTime
,sum,mean,median,std,min,max,sem,count
type,,,,,,,,
calculateOrderData_responseTime,34744520164.0,21070054.67798666,13148018.0,24010011.942378033,8870310.0,722612214.0,591264.8320003668,1649
counterOrder_responseTime,585259439545.0,354917792.3256519,280767463.0,211771343.01056525,229239568.0,2386642148.0,5215030.623397199,1649
filledOrders_responseTime,1132098150399.0,686536173.6804124,533610070.0,333260830.50726277,431911459.0,3121212136.0,8206801.788981675,1649
getTokenPools_responseTime,77840175375.0,47204472.63493026,30747538.0,38342305.47080417,15653379.0,278495313.0,944208.4767433236,1649
placeOrders_responseTime,1138645044027.0,690506394.1946634,545825288.0,317721708.09876853,435052754.0,3166277523.0,7824139.063850956,1649
pollTxHashSleep_responseTime,7625751280370.0,4624470151.831413,4101895117.0,2783985925.097752,1011324983.0,41811697338.0,68557773.9088486,1649
pollTxHash_responseTime,1294235772021.0,784860989.7034566,558403654.0,819654193.6265566,107096033.0,9052707189.0,20184608.831352476,1649
priceArbiCalculator_responseTime,34532005765.0,20941179.96664645,9650869.0,76346846.39223835,7510925.0,2667480330.0,1880099.2441902834,1649
priceFilledArbiCalculator_responseTime,32290548646.0,19581897.29896907,5990298.0,65797602.82664062,3820262.0,1819810058.0,1620316.0862512824,1649
removeOpenOrders_responseTime,1081492146267.0,655847268.8095815,515724123.0,304540517.6714809,430156226.0,2775006510.0,7499542.20974447,1649
replaceOrders_responseTime,1092195296859.0,662337960.4966646,517967795.0,309181762.0605917,423384380.0,3133573909.0,7613836.3879642105,1649
responseTime,327733842072.0,198747023.69436023,184522865.0,85409388.37809658,80201486.0,1180642508.0,2103271.2433389863,1649
sleepValue,9894000.0,6000.0,6000.0,0.0,6000.0,6000.0,0.0,1649
sleep_responseTime,9926253903796.0,6019559674.830807,6007524934.0,154789846.43476048,5999414914.0,11730090330.0,3811817.8686147956,1649
swapInRetry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124
swapIn_responseTime,134761877334.0,154189791.0,70181494.5,364542799.19612354,17486158.0,5175281405.0,12330844.121841198,874
swapOutRetry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95
swapOut_responseTime,113455274353.0,140414943.50618812,66901164.5,400406802.4712075,13324348.0,6197670037.0,14086262.155602427,808
swapPoller_responseTime,8913501352715.0,5405398030.755003,4967807278.0,3188649136.159151,1679953211.0,47716854558.0,78522913.70466202,1649
swaps_responseTime,9320308772536.0,5652097496.989691,5198920382.0,3229123349.755359,1762936650.0,47855068615.0,79519622.04282285,1649
trade_responseTime,550579516785.0,333886911.33110976,262723528.0,202586771.66873124,219942626.0,2196655709.0,4988853.558410408,1649
txHashSleepValue,824500.0,500.0,500.0,0.0,500.0,500.0,0.0,1649
